ID,Date,Time,Temp,,,
1,2026-05-18,13:07,22.1,,,
2,2026-05-18,13:37,23.7,,,
3,2026-05-18,14:07,23.8,,,
4,2026-05-18,14:37,22.9,,,
5,2026-05-18,15:07,22.6,,,
6,2026-05-18,15:37,22.9,,,
7,2026-05-18,16:07,22.7,,,
8,2026-05-18,16:37,21.9,,,
9,2026-05-18,17:07,20.9,,,
10,2026-05-18,17:37,20,,,
11,2026-05-18,18:07,19.2,,,
12,2026-05-18,18:37,18.5,,,
13,2026-05-18,19:07,17.5,,,
14,2026-05-18,19:37,16.6,,,
15,2026-05-18,20:07,15.8,,,
16,2026-05-18,20:37,14.9,,,
17,2026-05-18,21:07,14.3,,,
18,2026-05-18,21:37,13.7,,,
19,2026-05-18,22:07,13.1,,,
20,2026-05-18,22:37,12.7,,,
21,2026-05-18,23:07,12.3,,,
22,2026-05-18,23:37,12,,,
23,2026-05-19,0:07,11.7,,,
24,2026-05-19,0:37,11.4,,,
25,2026-05-19,1:07,11.1,,,
26,2026-05-19,1:37,10.8,,,
27,2026-05-19,2:07,10.5,,,
28,2026-05-19,2:37,10.1,,,
29,2026-05-19,3:07,9.7,,,
30,2026-05-19,3:37,9.4,,,
31,2026-05-19,4:07,9.2,,,
32,2026-05-19,4:37,9.1,,,
33,2026-05-19,5:07,9.2,,,
34,2026-05-19,5:37,9.6,,,
35,2026-05-19,6:07,10.1,,,
36,2026-05-19,6:37,10.6,,,
37,2026-05-19,7:07,11,,,
38,2026-05-19,7:37,11.7,,,
39,2026-05-19,8:07,12.4,,,
40,2026-05-19,8:37,13.3,,,
41,2026-05-19,9:07,13.8,,,
42,2026-05-19,9:37,14.6,,,
43,2026-05-19,10:07,15.6,,,
44,2026-05-19,10:37,16,,,
45,2026-05-19,11:07,17.3,,,
46,2026-05-19,11:37,18.7,,,
47,2026-05-19,12:07,21.5,,,
48,2026-05-19,12:37,22.5,,,
49,2026-05-19,13:07,23.3,,,
50,2026-05-19,13:37,23.7,,,
51,2026-05-19,14:07,23.3,,,
52,2026-05-19,14:37,22.5,,,
53,2026-05-19,15:07,21.3,,,
54,2026-05-19,15:37,20.7,,,
55,2026-05-19,16:07,20.5,,,
56,2026-05-19,16:37,21.2,,,
57,2026-05-19,17:07,21.3,,,
58,2026-05-19,17:37,21.1,,,
59,2026-05-19,18:07,20.8,,,
60,2026-05-19,18:37,20,,,
61,2026-05-19,19:07,19.3,,,
62,2026-05-19,19:37,18.1,,,
63,2026-05-19,20:07,16.9,,,
64,2026-05-19,20:37,16,,,
65,2026-05-19,21:07,15.3,,,
66,2026-05-19,21:37,14.7,,,
67,2026-05-19,22:07,14.2,,,
68,2026-05-19,22:37,13.7,,,
69,2026-05-19,23:07,13.3,,,
70,2026-05-19,23:37,13,,,
71,2026-05-20,0:07,12.6,,,
72,2026-05-20,0:37,12.4,,,
73,2026-05-20,1:07,12.3,,,
74,2026-05-20,1:37,12.2,,,
75,2026-05-20,2:07,12.2,,,
76,2026-05-20,2:37,12.1,,,
77,2026-05-20,3:07,11.9,,,
78,2026-05-20,3:37,11.8,,,
79,2026-05-20,4:07,11.8,,,
80,2026-05-20,4:37,11.5,,,
81,2026-05-20,5:07,11.1,,,
82,2026-05-20,5:37,10.9,,,
83,2026-05-20,6:07,10.9,,,
84,2026-05-20,6:37,11,,,
85,2026-05-20,7:07,11.2,,,
86,2026-05-20,7:37,11.6,,,
87,2026-05-20,8:07,12.4,,,
88,2026-05-20,8:37,13.2,,,
89,2026-05-20,9:07,13.9,,,
90,2026-05-20,9:37,14.4,,,
91,2026-05-20,10:07,15.1,,,
92,2026-05-20,10:37,16.4,,,
93,2026-05-20,11:07,18.2,,,
94,2026-05-20,11:37,20.6,,,
95,2026-05-20,12:07,23.5,,,
96,2026-05-20,12:37,25.4,,,
97,2026-05-20,13:07,25,,,
98,2026-05-20,13:37,25,,,
99,2026-05-20,14:07,24.5,,,
100,2026-05-20,14:37,25.3,,,
101,2026-05-20,15:07,25.9,,,
102,2026-05-20,15:37,26.2,,,
103,2026-05-20,16:07,26.1,,,
104,2026-05-20,16:37,25.7,,,
105,2026-05-20,17:07,24.8,,,
106,2026-05-20,17:37,23.5,,,
107,2026-05-20,18:07,22.3,,,
108,2026-05-20,18:37,21.1,,,
109,2026-05-20,19:07,20.1,,,
110,2026-05-20,19:37,19,,,
111,2026-05-20,20:07,18,,,
112,2026-05-20,20:37,17.2,,,
113,2026-05-20,21:07,16.5,,,
114,2026-05-20,21:37,16,,,
115,2026-05-20,22:07,15.5,,,
116,2026-05-20,22:37,15.1,,,
117,2026-05-20,23:07,14.8,,,
118,2026-05-20,23:37,14.4,,,
119,2026-05-21,0:07,14,,,
120,2026-05-21,0:37,13.5,,,
121,2026-05-21,1:07,13.1,,,
122,2026-05-21,1:37,12.7,,,
123,2026-05-21,2:07,12.4,,,
124,2026-05-21,2:37,12.1,,,
125,2026-05-21,3:07,11.7,,,
126,2026-05-21,3:37,11.3,,,
127,2026-05-21,4:07,10.9,,,
128,2026-05-21,4:37,10.6,,,
129,2026-05-21,5:07,10.4,,,
130,2026-05-21,5:37,10.4,,,
131,2026-05-21,6:07,10.4,,,
132,2026-05-21,6:37,10.5,,,
133,2026-05-21,7:07,10.6,,,
134,2026-05-21,7:37,10.8,,,
135,2026-05-21,8:07,10.9,,,
136,2026-05-21,8:37,11.1,,,
137,2026-05-21,9:07,11.4,,,
138,2026-05-21,9:37,11.8,,,
139,2026-05-21,10:07,12.3,,,
140,2026-05-21,10:37,13,,,
141,2026-05-21,11:07,16.4,,,
142,2026-05-21,11:37,21.3,,,
143,2026-05-21,12:07,24.7,,,
144,2026-05-21,12:37,26.8,,,
145,2026-05-21,13:07,28.1,,,
146,2026-05-21,13:37,28.7,,,
147,2026-05-21,14:07,29.5,,,
148,2026-05-21,14:37,30,,,
149,2026-05-21,15:07,29.6,,,
150,2026-05-21,15:37,29.2,,,
151,2026-05-21,16:07,28.6,,,
152,2026-05-21,16:37,27.7,,,
153,2026-05-21,17:07,26.6,,,
154,2026-05-21,17:37,25.5,,,
155,2026-05-21,18:07,24.3,,,
156,2026-05-21,18:37,23,,,
157,2026-05-21,19:07,21.6,,,
158,2026-05-21,19:37,20.5,,,
159,2026-05-21,20:07,19.6,,,
160,2026-05-21,20:37,18.8,,,
161,2026-05-21,21:07,18.2,,,
162,2026-05-21,21:37,17.7,,,
163,2026-05-21,22:07,17,,,
164,2026-05-21,22:37,16.4,,,
165,2026-05-21,23:07,16.1,,,
166,2026-05-21,23:37,15.6,,,
167,2026-05-22,0:07,15,,,
168,2026-05-22,0:37,14.5,,,
169,2026-05-22,1:07,14,,,
170,2026-05-22,1:37,13.7,,,
171,2026-05-22,2:07,13.3,,,
172,2026-05-22,2:37,13.1,,,
173,2026-05-22,3:07,12.9,,,
174,2026-05-22,3:37,12.6,,,
175,2026-05-22,4:07,12.4,,,
176,2026-05-22,4:37,12.1,,,
177,2026-05-22,5:07,12,,,
178,2026-05-22,5:37,11.9,,,
179,2026-05-22,6:07,12,,,
180,2026-05-22,6:37,12,,,
181,2026-05-22,7:07,12.1,,,
182,2026-05-22,7:37,12.4,,,
183,2026-05-22,8:07,12.8,,,
184,2026-05-22,8:37,13,,,
185,2026-05-22,9:07,13.4,,,
186,2026-05-22,9:37,13.7,,,
187,2026-05-22,10:07,14.2,,,
188,2026-05-22,10:37,15,,,
189,2026-05-22,11:07,18.4,,,
190,2026-05-22,11:37,23.5,,,
191,2026-05-22,12:07,26.9,,,
192,2026-05-22,12:37,28.9,,,
193,2026-05-22,13:07,29.9,,,
194,2026-05-22,13:37,30.8,,,
195,2026-05-22,14:07,31.7,,,
196,2026-05-22,14:37,32.3,,,
197,2026-05-22,15:07,32.2,,,
198,2026-05-22,15:37,32.2,,,
199,2026-05-22,16:07,32,,,
200,2026-05-22,16:37,31.3,,,
201,2026-05-22,17:07,30.1,,,
202,2026-05-22,17:37,28.2,,,
203,2026-05-22,18:07,26.8,,,
204,2026-05-22,18:37,25.4,,,
205,2026-05-22,19:07,24,,,
206,2026-05-22,19:37,22.7,,,
207,2026-05-22,20:07,21.3,,,
208,2026-05-22,20:37,20.2,,,
209,2026-05-22,21:07,19.3,,,
210,2026-05-22,21:37,18.6,,,
211,2026-05-22,22:07,18.1,,,
212,2026-05-22,22:37,17.6,,,
213,2026-05-22,23:07,17.2,,,
214,2026-05-22,23:37,16.8,,,
215,2026-05-23,0:07,16.5,,,
216,2026-05-23,0:37,16.2,,,
217,2026-05-23,1:07,15.8,,,
218,2026-05-23,1:37,15.5,,,
219,2026-05-23,2:07,15.2,,,
220,2026-05-23,2:37,14.9,,,
221,2026-05-23,3:07,14.6,,,
222,2026-05-23,3:37,14.3,,,
223,2026-05-23,4:07,14.1,,,
224,2026-05-23,4:37,13.8,,,
225,2026-05-23,5:07,13.6,,,
226,2026-05-23,5:37,13.7,,,
227,2026-05-23,6:07,14,,,
228,2026-05-23,6:37,14,,,
229,2026-05-23,7:07,14,,,
230,2026-05-23,7:37,14.1,,,
231,2026-05-23,8:07,14.3,,,
232,2026-05-23,8:37,14.5,,,
233,2026-05-23,9:07,14.9,,,
234,2026-05-23,9:37,15.2,,,
235,2026-05-23,10:07,15.9,,,
236,2026-05-23,10:37,16.8,,,
237,2026-05-23,11:07,20.1,,,
238,2026-05-23,11:37,25,,,
239,2026-05-23,12:07,28.6,,,
240,2026-05-23,12:37,30.6,,,
241,2026-05-23,13:07,31.8,,,
242,2026-05-23,13:37,32.7,,,
243,2026-05-23,14:07,33.4,,,
244,2026-05-23,14:37,33.9,,,
245,2026-05-23,15:07,33.9,,,
246,2026-05-23,15:37,33.3,,,
247,2026-05-23,16:07,32.6,,,
