ID,Date,Time,Temp,,,
1,2026-04-17,15:25,21.8,,,
2,2026-04-17,15:55,15.8,,,
3,2026-04-17,16:25,16.3,,,
4,2026-04-17,16:55,15.4,,,
5,2026-04-17,17:25,15.6,,,
6,2026-04-17,17:55,15.2,,,
7,2026-04-17,18:25,14.3,,,
8,2026-04-17,18:55,13.2,,,
9,2026-04-17,19:25,11.9,,,
10,2026-04-17,19:55,10.6,,,
11,2026-04-17,20:25,9.4,,,
12,2026-04-17,20:55,8.5,,,
13,2026-04-17,21:25,7.7,,,
14,2026-04-17,21:55,7.1,,,
15,2026-04-17,22:25,6.5,,,
16,2026-04-17,22:55,6.1,,,
17,2026-04-17,23:25,5.7,,,
18,2026-04-17,23:55,5.4,,,
19,2026-04-18,0:25,5.1,,,
20,2026-04-18,0:55,4.8,,,
21,2026-04-18,1:25,4.5,,,
22,2026-04-18,1:55,4.3,,,
23,2026-04-18,2:25,4.1,,,
24,2026-04-18,2:55,3.9,,,
25,2026-04-18,3:25,3.7,,,
26,2026-04-18,3:55,3.5,,,
27,2026-04-18,4:25,3.4,,,
28,2026-04-18,4:55,3.3,,,
29,2026-04-18,5:25,3.3,,,
30,2026-04-18,5:55,3.2,,,
31,2026-04-18,6:25,3.1,,,
32,2026-04-18,6:55,3,,,
33,2026-04-18,7:25,3,,,
34,2026-04-18,7:55,3,,,
35,2026-04-18,8:25,3.2,,,
36,2026-04-18,8:55,3.7,,,
37,2026-04-18,9:25,4.6,,,
38,2026-04-18,9:55,5.4,,,
39,2026-04-18,10:25,6.2,,,
40,2026-04-18,10:55,6.9,,,
41,2026-04-18,11:25,7.8,,,
42,2026-04-18,11:55,8.3,,,
43,2026-04-18,12:25,9.9,,,
44,2026-04-18,12:55,12.4,,,
45,2026-04-18,13:25,14.7,,,
46,2026-04-18,13:55,15.4,,,
47,2026-04-18,14:25,16.4,,,
48,2026-04-18,14:55,17.7,,,
49,2026-04-18,15:25,17.8,,,
50,2026-04-18,15:55,18.8,,,
51,2026-04-18,16:25,18.2,,,
52,2026-04-18,16:55,17.7,,,
53,2026-04-18,17:25,17.7,,,
54,2026-04-18,17:55,17.3,,,
55,2026-04-18,18:25,16,,,
56,2026-04-18,18:55,14.9,,,
57,2026-04-18,19:25,14,,,
58,2026-04-18,19:55,13.1,,,
59,2026-04-18,20:25,12.2,,,
60,2026-04-18,20:55,11.3,,,
61,2026-04-18,21:25,10.6,,,
62,2026-04-18,21:55,10.1,,,
63,2026-04-18,22:25,9.6,,,
64,2026-04-18,22:55,9.1,,,
65,2026-04-18,23:25,8.7,,,
66,2026-04-18,23:55,8.4,,,
67,2026-04-19,0:25,8.1,,,
68,2026-04-19,0:55,7.9,,,
69,2026-04-19,1:25,7.6,,,
70,2026-04-19,1:55,7.3,,,
71,2026-04-19,2:25,7,,,
72,2026-04-19,2:55,6.6,,,
73,2026-04-19,3:25,6.4,,,
74,2026-04-19,3:55,6.1,,,
75,2026-04-19,4:25,5.8,,,
76,2026-04-19,4:55,5.6,,,
77,2026-04-19,5:25,5.3,,,
78,2026-04-19,5:55,5.1,,,
79,2026-04-19,6:25,4.9,,,
80,2026-04-19,6:55,4.8,,,
81,2026-04-19,7:25,4.9,,,
82,2026-04-19,7:55,5.1,,,
83,2026-04-19,8:25,5.3,,,
84,2026-04-19,8:55,5.6,,,
85,2026-04-19,9:25,6.1,,,
86,2026-04-19,9:55,6.7,,,
87,2026-04-19,10:25,7.5,,,
88,2026-04-19,10:55,8.3,,,
89,2026-04-19,11:25,10.7,,,
