ID,Date,Time,Temp,,,
1,2026-05-18,13:07,22.1,,,
2,2026-05-18,13:37,17.4,,,
3,2026-05-18,14:07,16.9,,,
4,2026-05-18,14:37,17.7,,,
5,2026-05-18,15:07,19.5,,,
6,2026-05-18,15:37,23.4,,,
7,2026-05-18,16:07,18.3,,,
8,2026-05-18,16:37,20.2,,,
9,2026-05-18,17:07,19.3,,,
10,2026-05-18,17:37,14.6,,,
11,2026-05-18,18:07,18.3,,,
12,2026-05-18,18:37,13.3,,,
13,2026-05-18,19:07,8.9,,,
14,2026-05-18,19:37,7.7,,,
15,2026-05-18,20:07,5.6,,,
16,2026-05-18,20:37,7.4,,,
17,2026-05-18,21:07,5.9,,,
18,2026-05-18,21:37,5.2,,,
19,2026-05-18,22:07,5.8,,,
20,2026-05-18,22:37,5.4,,,
21,2026-05-18,23:07,5.9,,,
22,2026-05-18,23:37,6,,,
23,2026-05-19,0:07,5.8,,,
24,2026-05-19,0:37,5.9,,,
25,2026-05-19,1:07,4.6,,,
26,2026-05-19,1:37,4.5,,,
27,2026-05-19,2:07,1.6,,,
28,2026-05-19,2:37,1.2,,,
29,2026-05-19,3:07,0.3,,,
30,2026-05-19,3:37,1.8,,,
31,2026-05-19,4:07,1.2,,,
32,2026-05-19,4:37,2.7,,,
33,2026-05-19,5:07,4.4,,,
34,2026-05-19,5:37,7.3,,,
35,2026-05-19,6:07,7.6,,,
36,2026-05-19,6:37,8.6,,,
37,2026-05-19,7:07,9.8,,,
38,2026-05-19,7:37,11.5,,,
39,2026-05-19,8:07,13.1,,,
40,2026-05-19,8:37,13,,,
41,2026-05-19,9:07,14.7,,,
42,2026-05-19,9:37,15.4,,,
43,2026-05-19,10:07,15.1,,,
44,2026-05-19,10:37,17.9,,,
45,2026-05-19,11:07,19.6,,,
46,2026-05-19,11:37,21.9,,,
47,2026-05-19,12:07,19.3,,,
48,2026-05-19,12:37,20.4,,,
49,2026-05-19,13:07,20.6,,,
50,2026-05-19,13:37,21.7,,,
51,2026-05-19,14:07,19.2,,,
52,2026-05-19,14:37,17.6,,,
53,2026-05-19,15:07,17.5,,,
54,2026-05-19,15:37,18.6,,,
55,2026-05-19,16:07,24.4,,,
56,2026-05-19,16:37,21.7,,,
57,2026-05-19,17:07,21.5,,,
58,2026-05-19,17:37,24.1,,,
59,2026-05-19,18:07,18.4,,,
60,2026-05-19,18:37,19,,,
61,2026-05-19,19:07,12.8,,,
62,2026-05-19,19:37,9.1,,,
63,2026-05-19,20:07,8.5,,,
64,2026-05-19,20:37,8.9,,,
65,2026-05-19,21:07,8.1,,,
66,2026-05-19,21:37,8,,,
67,2026-05-19,22:07,7.5,,,
68,2026-05-19,22:37,7.1,,,
69,2026-05-19,23:07,6.9,,,
70,2026-05-19,23:37,6.2,,,
71,2026-05-20,0:07,7.9,,,
72,2026-05-20,0:37,8.1,,,
73,2026-05-20,1:07,7.8,,,
74,2026-05-20,1:37,7,,,
75,2026-05-20,2:07,7.2,,,
76,2026-05-20,2:37,6.9,,,
77,2026-05-20,3:07,6.8,,,
78,2026-05-20,3:37,6.4,,,
79,2026-05-20,4:07,5.1,,,
80,2026-05-20,4:37,3.5,,,
81,2026-05-20,5:07,4.8,,,
82,2026-05-20,5:37,6.8,,,
83,2026-05-20,6:07,10.4,,,
84,2026-05-20,6:37,11.1,,,
85,2026-05-20,7:07,13.5,,,
86,2026-05-20,7:37,14.3,,,
87,2026-05-20,8:07,14.4,,,
88,2026-05-20,8:37,15.9,,,
89,2026-05-20,9:07,18,,,
90,2026-05-20,9:37,17.8,,,
91,2026-05-20,10:07,19.8,,,
92,2026-05-20,10:37,21.2,,,
93,2026-05-20,11:07,20.4,,,
94,2026-05-20,11:37,22.5,,,
95,2026-05-20,12:07,20.4,,,
96,2026-05-20,12:37,18.9,,,
97,2026-05-20,13:07,21,,,
98,2026-05-20,13:37,19.4,,,
99,2026-05-20,14:07,21,,,
100,2026-05-20,14:37,22.3,,,
101,2026-05-20,15:07,23,,,
102,2026-05-20,15:37,22.1,,,
103,2026-05-20,16:07,22.2,,,
104,2026-05-20,16:37,21.7,,,
105,2026-05-20,17:07,22,,,
106,2026-05-20,17:37,21.2,,,
107,2026-05-20,18:07,17.7,,,
108,2026-05-20,18:37,16.9,,,
109,2026-05-20,19:07,11.8,,,
110,2026-05-20,19:37,8.4,,,
111,2026-05-20,20:07,8.7,,,
112,2026-05-20,20:37,9.1,,,
113,2026-05-20,21:07,8.5,,,
114,2026-05-20,21:37,9.1,,,
115,2026-05-20,22:07,9.1,,,
116,2026-05-20,22:37,10.5,,,
117,2026-05-20,23:07,9.8,,,
118,2026-05-20,23:37,8.4,,,
119,2026-05-21,0:07,6.5,,,
120,2026-05-21,0:37,4,,,
121,2026-05-21,1:07,4.2,,,
122,2026-05-21,1:37,4.4,,,
123,2026-05-21,2:07,4.5,,,
124,2026-05-21,2:37,2.6,,,
125,2026-05-21,3:07,0.9,,,
126,2026-05-21,3:37,1.8,,,
127,2026-05-21,4:07,0.7,,,
128,2026-05-21,4:37,2,,,
129,2026-05-21,5:07,3.8,,,
130,2026-05-21,5:37,5.8,,,
131,2026-05-21,6:07,7.2,,,
132,2026-05-21,6:37,8.2,,,
133,2026-05-21,7:07,10,,,
134,2026-05-21,7:37,11.5,,,
135,2026-05-21,8:07,12.3,,,
136,2026-05-21,8:37,13.9,,,
137,2026-05-21,9:07,16.5,,,
138,2026-05-21,9:37,17.3,,,
139,2026-05-21,10:07,20.1,,,
140,2026-05-21,10:37,19.7,,,
141,2026-05-21,11:07,20,,,
142,2026-05-21,11:37,21.6,,,
143,2026-05-21,12:07,22.3,,,
144,2026-05-21,12:37,22.4,,,
145,2026-05-21,13:07,23.2,,,
146,2026-05-21,13:37,24,,,
147,2026-05-21,14:07,25.1,,,
148,2026-05-21,14:37,24.4,,,
149,2026-05-21,15:07,23.7,,,
150,2026-05-21,15:37,25.4,,,
151,2026-05-21,16:07,23.7,,,
